code,name
3519,Mexico Chihuahua Chihuahua City (n=119)
3654,Mexico Chihuahua Chihuahua City Pop 2 (n=88)
3574,Mexico Chihuahua Rural (n=236)
2165,Mexico Chihuahua Tarahumara (n=44)
3518,Mexico Chihuahua, Ciudad Juarez (n=106)
3576,Mexico Coahuila Rural (n=216)
3514,Mexico Coahuila, Saltillo (n=72)
3513,Mexico Coahuila, Torreon (n=396)
3582,Mexico Colima Rural (n=43)
3496,Mexico Colima, Colima city (n=61)
3575,Mexico Durango Rural (n=326)
3516,Mexico Durango, Durango city (n=153)
1752,Mexico Guadalajara Mestizo (n=54)
